sku,slug,nameTh,nameZh,nameEn,descriptionTh,descriptionZh,descriptionEn,priceCents,currency,stock,weightGrams,category,tags,images,active
RJK-MSK-GLD-6PK,rojukiss-perfect-poreless-gold-mask-6pcs,โรจูคิส แผ่นมาส์กหน้าเพอร์เฟคพอร์เลส (ทอง) (แพ็ก 6 ชิ้น),Rojukiss 完美毛孔黄金面膜 (6片装),Rojukiss Perfect Poreless Gold Mask (Pack of 6),โรจูคิส แผ่นมาส์กหน้าเพอร์เฟคพอร์เลส (ทอง) (แพ็ก 6 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Rojukiss 完美毛孔黄金面膜 (6片装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Rojukiss Perfect Poreless Gold Mask (Pack of 6) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",13200,CNY,50,200,Skincare,Rojukiss|泰国护肤品|进口护肤|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/rjk-msk-gld-6pk.webp,true
SRC-PWD-TRL-4G,srichand-bare-to-perfect-translucent-powder-4-5g,ศรีจันทร์แบร์ทูเพอร์เฟคท์ ทรานส์ลูเซนท์คอมแพคพาวเดอร์ 4.5 กรัม,Srichand 透明控油蜜粉饼 4.5克,Srichand Bare to Perfect Translucent Powder 4.5g,ศรีจันทร์แบร์ทูเพอร์เฟคท์ ทรานส์ลูเซนท์คอมแพคพาวเดอร์ 4.5 กรัม สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Srichand 透明控油蜜粉饼 4.5克，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Srichand Bare to Perfect Translucent Powder 4.5g — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",5500,CNY,50,40,Makeup,Srichand|泰国美妆|进口彩妆|泰国正品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/src-pwd-trl-4g.webp,true
FNL-SFT-VLD-470ML-3PK,fineline-violet-dream-fabric-softener-470ml-3pcs,ไฟน์ไลน์ น้ำปรับผ้านุ่ม กลิ่น ไวโอเลต ดรีม สีม่วง 470 มล.(แพ็ก 3 ชิ้น),Fineline 紫罗兰梦幻衣物柔顺剂 470毫升 (3瓶装),Fineline Violet Dream Fabric Softener 470ml (Pack of 3),ไฟน์ไลน์ น้ำปรับผ้านุ่ม กลิ่น ไวโอเลต ดรีม สีม่วง 470 มล.(แพ็ก 3 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Fineline 紫罗兰梦幻衣物柔顺剂 470毫升 (3瓶装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Fineline Violet Dream Fabric Softener 470ml (Pack of 3) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",6800,CNY,50,1500,Household,Fineline|泰国家居|衣物护理|香味柔顺剂|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/fnl-sft-vld-470ml-3pk.webp,true
FNL-SFT-SWS-490ML,fineline-deluxe-perfume-sweet-scent-softener-490ml,ไฟน์ไลน์ ดีลักซ์ เพอร์ฟูม ปรับผ้านุ่ม สวีท เซนท์ ชมพู 490 มล.,Fineline 奢华香水衣物柔顺剂 甜心粉 490毫升,Fineline Deluxe Perfume Sweet Scent Softener 490ml,ไฟน์ไลน์ ดีลักซ์ เพอร์ฟูม ปรับผ้านุ่ม สวีท เซนท์ ชมพู 490 มล. สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Fineline 奢华香水衣物柔顺剂 甜心粉 490毫升，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Fineline Deluxe Perfume Sweet Scent Softener 490ml — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",4100,CNY,50,550,Household,Fineline|泰国家居|衣物护理|香味柔顺剂|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/fnl-sft-sws-490ml.webp,true
FNL-DET-SNG-550ML,fineline-plus-liquid-detergent-sunny-gold-550ml,ไฟน์ไลน์พลัสซักผ้าชนิดน้ำสีทอง 550 มล.,Fineline Plus 洗衣液 阳光金 550毫升,Fineline Plus Liquid Detergent Sunny Gold 550ml,ไฟน์ไลน์พลัสซักผ้าชนิดน้ำสีทอง 550 มล. สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Fineline Plus 洗衣液 阳光金 550毫升，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Fineline Plus Liquid Detergent Sunny Gold 550ml — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",4800,CNY,50,600,Household,Fineline|泰国家居|衣物护理|香味柔顺剂|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/fnl-det-sng-550ml.webp,true
BRE-DET-HVB-550ML,breeze-excel-heaven-blossom-detergent-550ml,บรีส เอกเซล น้ำยาซักผ้า เฮฟเวน บลอสซั่ม 550 มล.,Breeze Excel 洗衣液 天堂花香 550毫升,Breeze Excel Heaven Blossom Detergent 550ml,บรีส เอกเซล น้ำยาซักผ้า เฮฟเวน บลอสซั่ม 550 มล. สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Breeze Excel 洗衣液 天堂花香 550毫升，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Breeze Excel Heaven Blossom Detergent 550ml — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",5500,CNY,50,600,Household,Breeze|泰国家居|衣物护理|香味柔顺剂|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/bre-det-hvb-550ml.webp,true
HYG-SFT-MKT-480ML,hygiene-milky-touch-softener-480ml,ไฮยีน น้ำยาปรับผ้านุ่ม มิลค์กี้ทัช 480 มล.,Hygiene 牛奶触感衣物柔顺剂 480毫升,Hygiene Milky Touch Fabric Softener 480ml,ไฮยีน น้ำยาปรับผ้านุ่ม มิลค์กี้ทัช 480 มล. สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Hygiene 牛奶触感衣物柔顺剂 480毫升，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Hygiene Milky Touch Fabric Softener 480ml — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",5900,CNY,50,530,Household,Hygiene|泰国家居|衣物护理|香味柔顺剂|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/hyg-sft-mkt-480ml.webp,true
DWN-SFT-SRF-300ML,downy-sunrise-fresh-softener-300ml,ดาวน์นี่ น้ำยาปรับผ้านุ่ม ซันไรซ์เฟรช 300 มล.,Downy 清晨清新浓缩衣物柔顺剂 300毫升,Downy Sunrise Fresh Fabric Softener 300ml,ดาวน์นี่ น้ำยาปรับผ้านุ่ม ซันไรซ์เฟรช 300 มล. สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Downy 清晨清新浓缩衣物柔顺剂 300毫升，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Downy Sunrise Fresh Fabric Softener 300ml — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",5900,CNY,50,350,Household,Downy|泰国家居|衣物护理|香味柔顺剂|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/dwn-sft-srf-300ml.webp,true
HYG-SFT-LVT-480ML,hygiene-love-touch-softener-480ml,ไฮยีน น้ำยาปรับผ้านุ่ม เลิฟทัช 480 มล.,Hygiene 爱恋触感衣物柔顺剂 480毫升,Hygiene Love Touch Fabric Softener 480ml,ไฮยีน น้ำยาปรับผ้านุ่ม เลิฟทัช 480 มล. สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Hygiene 爱恋触感衣物柔顺剂 480毫升，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Hygiene Love Touch Fabric Softener 480ml — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",5900,CNY,50,530,Household,Hygiene|泰国家居|衣物护理|香味柔顺剂|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/hyg-sft-lvt-480ml.webp,true
CLC-WFR-CHS-27G-12PK,calcheese-cheese-cream-wafer-27-5g-12pcs,แคลชีส เวเฟอร์สอดไส้ครีมรสชีส 27.5 กรัม (แพ็ก 12 ชิ้น),Calcheese 芝士奶油夹心威化饼 27.5克 (12件装),Calcheese Cheese Cream Wafer 27.5g (Pack of 12),แคลชีส เวเฟอร์สอดไส้ครีมรสชีส 27.5 กรัม (แพ็ก 12 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Calcheese 芝士奶油夹心威化饼 27.5克 (12件装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Calcheese Cheese Cream Wafer 27.5g (Pack of 12) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",4800,CNY,50,400,Snack,Calcheese|泰国零食|进口零食|泰国特产|休闲食品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/clc-wfr-chs-27g-12pk.webp,true
CRF-CDY-CLS-25G-12PK,coryfin-c-classic-candy-25-2g-12pcs,คอริฟินซี ลูกอมรสคลาสสิค 25.2 กรัม (แพ็ก 12 ถุง),Coryfin C 经典润喉糖 25.2克 (12袋装),Coryfin C Classic Candy 25.2g (Pack of 12),คอริฟินซี ลูกอมรสคลาสสิค 25.2 กรัม (แพ็ก 12 ถุง) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Coryfin C 经典润喉糖 25.2克 (12袋装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Coryfin C Classic Candy 25.2g (Pack of 12) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",4200,CNY,50,350,Snack,Coryfin|泰国零食|进口零食|泰国特产|休闲食品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/crf-cdy-cls-25g-12pk.webp,true
GCC-WFR-ROL-12G-20PK,go-choco-roll-wafer-stick-12-5g-20pcs,โกช็อกโก โรล เวเฟอร์สติ๊กสอดไส้ครีมช็อกโกแลต 12.5 กรัม (แพ็ก 20 ชิ้น),Go Choco 巧克力夹心威化卷 12.5克 (20件装),Go Choco Roll Wafer Stick 12.5g (Pack of 20),โกช็อกโก โรล เวเฟอร์สติ๊กสอดไส้ครีมช็อกโกแลต 12.5 กรัม (แพ็ก 20 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Go Choco 巧克力夹心威化卷 12.5克 (20件装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Go Choco Roll Wafer Stick 12.5g (Pack of 20) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",3100,CNY,50,300,Snack,Go|泰国零食|进口零食|泰国特产|休闲食品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/gcc-wfr-rol-12g-20pk.webp,true
CKM-WFR-MLK-25G-10PK,choco-mucho-milk-chocolate-wafer-25g-10pcs,ช็อกโกมูโช เวเฟอร์ มิลค์ช็อกโกแลต 25 กรัม (แพ็ก 10 ชิ้น),Choco Mucho 牛奶巧克力威化 25克 (10件装),Choco Mucho Milk Chocolate Wafer 25g (Pack of 10),ช็อกโกมูโช เวเฟอร์ มิลค์ช็อกโกแลต 25 กรัม (แพ็ก 10 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Choco Mucho 牛奶巧克力威化 25克 (10件装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Choco Mucho Milk Chocolate Wafer 25g (Pack of 10) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",4000,CNY,50,300,Snack,Choco|泰国零食|进口零食|泰国特产|休闲食品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ckm-wfr-mlk-25g-10pk.webp,true
TVL-WFR-TWJ-35G-12PK,tivoli-twin-jumbo-chocolate-wafer-35g-12pcs,ทิวลี่ทวินจัมโบ้ เวเฟอร์สอดไส้ครีมเคลือบช็อกโกแลต 35 กรัม (แพ็ก 12 ชิ้น),Tivoli 双重巨无霸巧克力涂层威化 35克 (12件装),Tivoli Twin Jumbo Chocolate Coated Wafer 35g (Pack of 12),ทิวลี่ทวินจัมโบ้ เวเฟอร์สอดไส้ครีมเคลือบช็อกโกแลต 35 กรัม (แพ็ก 12 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Tivoli 双重巨无霸巧克力涂层威化 35克 (12件装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Tivoli Twin Jumbo Chocolate Coated Wafer 35g (Pack of 12) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",4000,CNY,50,480,Snack,Tivoli|泰国零食|进口零食|泰国特产|休闲食品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/tvl-wfr-twj-35g-12pk.webp,true
TKN-SWD-CLS-26G-6PK,taokaenoi-crispy-seaweed-classic-26g-6pcs,เถ้าแก่น้อย สาหร่ายทอด รสคลาสสิค 26 กรัม (แพ็ก 6 ชิ้น),老板仔香脆炸海苔 经典原味 26克 (6包装),Taokaenoi Crispy Seaweed Classic 26g (Pack of 6),เถ้าแก่น้อย สาหร่ายทอด รสคลาสสิค 26 กรัม (แพ็ก 6 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,老板仔香脆炸海苔 经典原味 26克 (6包装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Taokaenoi Crispy Seaweed Classic 26g (Pack of 6) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",8800,CNY,50,250,Snack,老板仔香脆炸海苔|泰国零食|进口零食|泰国特产|休闲食品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/tkn-swd-cls-26g-6pk.webp,true
KHK-PNT-CCN-180G-6PK,koh-kae-coconut-cream-peanuts-180g-6pcs,โก๋แก่ ถั่วลิสงอบกรอบ รสกะทิ 180 กรัม (6 ชิ้น),大哥牌椰浆味花生豆 180克 (6罐装),Koh Kae Coconut Cream Peanuts 180g (Pack of 6),โก๋แก่ ถั่วลิสงอบกรอบ รสกะทิ 180 กรัม (6 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,大哥牌椰浆味花生豆 180克 (6罐装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Koh Kae Coconut Cream Peanuts 180g (Pack of 6) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",11800,CNY,50,1200,Snack,大哥牌椰浆味花生豆|泰国零食|进口零食|泰国特产|休闲食品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/khk-pnt-ccn-180g-6pk.webp,true
JN-RCC-ORG-30G-6PK,jn-rice-cracker-original-30g-6pcs,J&N ข้าวแต๋นรสดั้งเดิม 30 กรัม (แพ็ก 6 ชิ้น),J&N 泰式米香锅巴 原味 30克 (6包装),J&N Rice Cracker Original 30g (Pack of 6),J&N ข้าวแต๋นรสดั้งเดิม 30 กรัม (แพ็ก 6 ชิ้น) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,J&N 泰式米香锅巴 原味 30克 (6包装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"J&N Rice Cracker Original 30g (Pack of 6) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",8000,CNY,50,220,Snack,J&N|泰国零食|进口零食|泰国特产|休闲食品|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/jn-rcc-org-30g-6pk.webp,true
MAMA-OK-SEG-85G-4PK,mama-ok-salted-egg-stir-fried-noodle-85g-4pcs,มาม่าออเรียนทัลคิตเชน รสผัดไข่เค็ม 85g (4 ซอง),妈妈牌 Oriental Kitchen 咸蛋黄炒面 85克 (4包装),Mama OK Salted Egg Noodle 85g (Pack of 4),มาม่าออเรียนทัลคิตเชน รสผัดไข่เค็ม 85g (4 ซอง) สินค้าของแท้ 100% จาก 7-Eleven ประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,妈妈牌 Oriental Kitchen 咸蛋黄炒面 85克 (4包装)，泰国7-Eleven正品，精选泰国人气商品，泰国直邮。,"Mama OK Salted Egg Noodle 85g (Pack of 4) — 100% authentic from 7-Eleven Thailand, shipped directly from Thailand.",4100,CNY,50,380,Instant Food,妈妈牌|泰国方便面|速食|泰国特产|进口方便面|7-Eleven热销,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mama-ok-seg-85g-4pk.webp,true
