sku,slug,nameTh,nameZh,nameEn,descriptionTh,descriptionZh,descriptionEn,priceCents,currency,stock,weightGrams,category,tags,images,active,lotusUrl
RNT-TEA-LMG-20G,ranong-tea-organic-lemongrass-pandan-20g,เรนองที ชาออร์แกนิก ตะไคร้ใบเตย 20 กรัม,Ranong Tea 有机香茅斑斓茶 20克,Ranong Tea Organic Lemongrass Pandan 20g,เรนองที ชาออร์แกนิก ตะไคร้ใบเตย 20 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Ranong Tea 有机香茅斑斓茶 20克，泰国正品，精选泰国人气商品，泰国直邮。,"Ranong Tea Organic Lemongrass Pandan 20g — 100% authentic Thai product, shipped directly from Thailand.",15400,CNY,50,80,Beverage,Ranong|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/rnt-tea-lmg-20g.webp,true,https://www.lotuss.com/en/product/52221348
GDY-RMB-PNA-234G,goody-rambutan-with-pineapple-234g,กู๊ดดี้ เงาะสอดไส้สับปะรดในน้ำเชื่อม 234 กรัม,Goody 菠萝心红毛丹罐头 234克,Goody Rambutan with Pineapple in Syrup 234g,กู๊ดดี้ เงาะสอดไส้สับปะรดในน้ำเชื่อม 234 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Goody 菠萝心红毛丹罐头 234克，泰国正品，精选泰国人气商品，泰国直邮。,"Goody Rambutan with Pineapple in Syrup 234g — 100% authentic Thai product, shipped directly from Thailand.",3600,CNY,50,320,Canned Fruit,Goody|泰国水果罐头|糖水罐头|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/gdy-rmb-pna-234g.webp,true,https://www.lotuss.com/th/product/75600154
LTS-RCB-1KG,lotuss-riceberry-rice-1kg,โลตัส ข้าวไรซ์เบอร์รี่ 1 กก.,Lotus's 泰国莱斯贝里紫米 1公斤,Lotus's Riceberry Rice 1kg,โลตัส ข้าวไรซ์เบอร์รี่ 1 กก. สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Lotus's 泰国莱斯贝里紫米 1公斤，泰国正品，精选泰国人气商品，泰国直邮。,"Lotus's Riceberry Rice 1kg — 100% authentic Thai product, shipped directly from Thailand.",6900,CNY,50,1100,Thai Cooking,Lotus's|泰国调料|泰式料理|泰国厨房|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/lts-rcb-1kg.webp,true,https://www.lotuss.com/th/product/tesco-riceberry-rice-1kg-73486159
AMR-TMR-CDY-120G,amira-tamarind-candy-120g,อมีร่า ลูกอมรสมะขามสอดไส้ 120 กรัม,Amira 罗望子夹心糖 120克,Amira Tamarind Center-Filled Candy 120g,อมีร่า ลูกอมรสมะขามสอดไส้ 120 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Amira 罗望子夹心糖 120克，泰国正品，精选泰国人气商品，泰国直邮。,"Amira Tamarind Center-Filled Candy 120g — 100% authentic Thai product, shipped directly from Thailand.",2600,CNY,50,140,Snack,Amira|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/amr-tmr-cdy-120g.webp,true,https://www.lotuss.com/th/product/amira-tamarind-center-filled-candy-120g-7200080
KLF-GEL-KID-6P,koolfever-cooling-gel-sheet-children-6pcs,คูลฟีเวอร์ แผ่นเจลลดไข้สำหรับเด็ก (6 แผ่น),KoolFever 儿童退热贴 (6片装),KoolFever Cooling Gel Sheet for Children (6 Sheets),คูลฟีเวอร์ แผ่นเจลลดไข้สำหรับเด็ก (6 แผ่น) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,KoolFever 儿童退热贴 (6片装)，泰国正品，精选泰国人气商品，泰国直邮。,"KoolFever Cooling Gel Sheet for Children (6 Sheets) — 100% authentic Thai product, shipped directly from Thailand.",4900,CNY,50,100,Personal Care,KoolFever|个人护理|泰国日用品|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/klf-gel-kid-6p.webp,true,https://www.lotuss.com/en/product/koolfever-cooling-gel-sheet-for-children-6pcs-70496951
KND-MSQ-PTC-4P,kindee-mosquito-repellent-patch-4pcs,คินดี้ แผ่นติดกันยุง กลิ่นตะไคร้หอม (4 ดวง),Kindee 香茅驱蚊贴 (4片装),Kindee Citronella Mosquito Repellent Patch (4 Pcs),คินดี้ แผ่นติดกันยุง กลิ่นตะไคร้หอม (4 ดวง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Kindee 香茅驱蚊贴 (4片装)，泰国正品，精选泰国人气商品，泰国直邮。,"Kindee Citronella Mosquito Repellent Patch (4 Pcs) — 100% authentic Thai product, shipped directly from Thailand.",2400,CNY,50,30,Personal Care,Kindee|个人护理|泰国日用品|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/knd-msq-ptc-4p.webp,true,https://www.lotuss.com/en/product/52227768
PGR-POR-VEG-35G,pure-grain-multi-vegetable-porridge-35g,เพียวเกรน โจ๊กสำเร็จรูปผักหลากสี 35 กรัม,Pure Grain 蔬菜谷物即食粥 35克,Pure Grain Multi-Vegetable Porridge 35g,เพียวเกรน โจ๊กสำเร็จรูปผักหลากสี 35 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Pure Grain 蔬菜谷物即食粥 35克，泰国正品，精选泰国人气商品，泰国直邮。,"Pure Grain Multi-Vegetable Porridge 35g — 100% authentic Thai product, shipped directly from Thailand.",1990,CNY,50,50,Instant Soup,Pure|泰国即食粥|速食粥|素食,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/pgr-por-veg-35g.webp,true,https://www.lotuss.com/th/product/pure-grain-porridge-multi-vegetable-35g-51501073
TVL-WFR-CHC-10G-30PK,tivoli-twin-chocolate-wafer-10g-30pcs,ทิวลี่ ทวินเวเฟอร์ช็อกโกแลต 10 กรัม (แพ็ก 30 ชิ้น),Tivoli 巧克力双层威化 10克 (30件装),Tivoli Twin Chocolate Wafer 10g (Pack of 30),ทิวลี่ ทวินเวเฟอร์ช็อกโกแลต 10 กรัม (แพ็ก 30 ชิ้น) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Tivoli 巧克力双层威化 10克 (30件装)，泰国正品，精选泰国人气商品，泰国直邮。,"Tivoli Twin Chocolate Wafer 10g (Pack of 30) — 100% authentic Thai product, shipped directly from Thailand.",3500,CNY,50,350,Snack,Tivoli|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/tvl-wfr-chc-10g-30pk.webp,true,https://www.lotuss.com/th/product/52557483
MKT-CRK-ORG-14G-24PK,malkist-original-cracker-14g-24pcs,มอลคิสท์ แครกเกอร์ออริจินอล 14 กรัม (แพ็ก 24),Malkist 原味香脆饼干 14克 (24包装),Malkist Original Crunchy Cracker 14g (Pack of 24),มอลคิสท์ แครกเกอร์ออริจินอล 14 กรัม (แพ็ก 24) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Malkist 原味香脆饼干 14克 (24包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Malkist Original Crunchy Cracker 14g (Pack of 24) — 100% authentic Thai product, shipped directly from Thailand.",2900,CNY,50,400,Snack,Malkist|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mkt-crk-org-14g-24pk.webp,true,https://www.lotuss.com/th/product/malkist-original-crunchy-cracker-18g-x-24pcs-73263842
DMG-GRN-CHC-320G,diamond-grains-granola-choco-crunch-320g,Diamond Grains กราโนล่า ช็อกโกครันช์ 320 กรัม,Diamond Grains 巧克力脆谷麦 320克,Diamond Grains Granola Choco Crunch 320g,Diamond Grains กราโนล่า ช็อกโกครันช์ 320 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Diamond Grains 巧克力脆谷麦 320克，泰国正品，精选泰国人气商品，泰国直邮。,"Diamond Grains Granola Choco Crunch 320g — 100% authentic Thai product, shipped directly from Thailand.",9900,CNY,50,400,Snack,Diamond|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/dmg-grn-chc-320g.webp,true,https://www.lotuss.com/en/product/diamond-grains-walt-granola-choco-crunch-320g-51201595
CTM-THT-RED-4G-50PK,cha-tra-mue-thai-tea-sachets-4g-50pcs,ชาตรามือ ชาแดงปรุงสำเร็จชนิดผง 4 กรัม (50 ซอง),手标泰式红茶粉便携装 4克 (50条装),Cha Tra Mue Thai Red Tea Sachets 4g (50 Pcs),ชาตรามือ ชาแดงปรุงสำเร็จชนิดผง 4 กรัม (50 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,手标泰式红茶粉便携装 4克 (50条装)，泰国正品，精选泰国人气商品，泰国直邮。,"Cha Tra Mue Thai Red Tea Sachets 4g (50 Pcs) — 100% authentic Thai product, shipped directly from Thailand.",9800,CNY,50,300,Beverage,手标泰式红茶粉便携装|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ctm-tht-red-4g-50pk.webp,true,https://www.lotuss.com/th/product/75618445
