sku,slug,nameTh,nameZh,nameEn,descriptionTh,descriptionZh,descriptionEn,priceCents,currency,stock,weightGrams,category,tags,images,active,makroUrl
PPO-JLY-MIX-12P-6PK,pipo-fruit-jelly-12pcs-6packs,ปีโป้ เยลลี่รวมรสผลไม้ 12 ชิ้น (แพ็ก 6),Pipo 混合水果果冻 12杯x6排,Pipo Fruit Jelly 12pcs (Pack of 6),ปีโป้ เยลลี่รวมรสผลไม้ 12 ชิ้น (แพ็ก 6) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Pipo 混合水果果冻 12杯x6排，泰国正品，精选泰国人气商品，泰国直邮。,"Pipo Fruit Jelly 12pcs (Pack of 6) — 100% authentic Thai product, shipped directly from Thailand.",4900,CNY,50,1300,Snack,Pipo|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ppo-jly-mix-12p-6pk.webp,true,https://www.makro.pro/th/p/302055-7275661164739
OVT-TAB-CHC-12G-24PK,ovaltine-chocolate-malt-tablet-12g-24pcs,โอวัลติน อัดเม็ด รสช็อกโกแลต 12 กรัม (แพ็ก 24 ซอง),阿华田巧克力麦芽压片糖 12克 (24包装),Ovaltine Chocolate Malt Tablet 12g (Pack of 24),โอวัลติน อัดเม็ด รสช็อกโกแลต 12 กรัม (แพ็ก 24 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,阿华田巧克力麦芽压片糖 12克 (24包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Ovaltine Chocolate Malt Tablet 12g (Pack of 24) — 100% authentic Thai product, shipped directly from Thailand.",6600,CNY,50,350,Snack,阿华田巧克力麦芽压片糖|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ovt-tab-chc-12g-24pk.webp,true,https://www.makro.pro/th/p/918680
YY-JMB-MPK-60G-30PK,yumyum-jumbo-minced-pork-60g-case-30,ยำยำ จัมโบ้ รสหมูสับ 60 กรัม (ยกลัง 30 ซอง),养养珍宝肉碎味面 60克 (整箱30包),Yum Yum Jumbo Minced Pork 60g (Case of 30),ยำยำ จัมโบ้ รสหมูสับ 60 กรัม (ยกลัง 30 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,养养珍宝肉碎味面 60克 (整箱30包)，泰国正品，精选泰国人气商品，泰国直邮。,"Yum Yum Jumbo Minced Pork 60g (Case of 30) — 100% authentic Thai product, shipped directly from Thailand.",11500,CNY,50,1900,Instant Food,养养珍宝肉碎味面|泰国方便面|速食|泰国特产|整箱批发,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/yy-jmb-mpk-60g-30pk.webp,true,https://www.makro.pro/th/p/47177-7248041836739
MAMA-BMN-CLR-55G-30PK,mama-rice-vermicelli-clear-soup-case-30,มาม่า เส้นหมี่กึ่งสำเร็จรูปน้ำใส 55 กรัม (ยกลัง 30 ซอง),妈妈牌清汤米粉 55克 (整箱30包),Mama Rice Vermicelli Clear Soup 55g (Case of 30),มาม่า เส้นหมี่กึ่งสำเร็จรูปน้ำใส 55 กรัม (ยกลัง 30 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,妈妈牌清汤米粉 55克 (整箱30包)，泰国正品，精选泰国人气商品，泰国直邮。,"Mama Rice Vermicelli Clear Soup 55g (Case of 30) — 100% authentic Thai product, shipped directly from Thailand.",12700,CNY,50,1750,Instant Food,妈妈牌清汤米粉|泰国方便面|速食|泰国特产|整箱批发,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mama-bmn-clr-55g-30pk.webp,true,https://www.makro.pro/th/p/131235-7078803374275
KHK-PNT-WSB-75G-3PK,koh-kae-wasabi-peanuts-75g-3pcs,โก๋แก่ ถั่วเคลือบรสวาซาบิ 75 กรัม (แพ็ก 3),大哥牌芥末味花生 75克 (3包装),Koh Kae Wasabi Peanuts 75g (Pack of 3),โก๋แก่ ถั่วเคลือบรสวาซาบิ 75 กรัม (แพ็ก 3) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,大哥牌芥末味花生 75克 (3包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Koh Kae Wasabi Peanuts 75g (Pack of 3) — 100% authentic Thai product, shipped directly from Thailand.",3400,CNY,50,250,Snack,大哥牌芥末味花生|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/khk-pnt-wsb-75g-3pk.webp,true,https://www.makro.pro/th/p/176308-7115262755011
TKN-SWD-CLS-3G-12PK,taokaenoi-seaweed-classic-3-2g-12pcs,เถ้าแก่น้อย สาหร่ายทอดแผ่น รสคลาสสิค 3.2 กรัม (แพ็ก 12 ซอง),老板仔香脆炸海苔 经典味 3.2克 (12包装),Taokaenoi Crispy Seaweed Classic 3.2g (Pack of 12),เถ้าแก่น้อย สาหร่ายทอดแผ่น รสคลาสสิค 3.2 กรัม (แพ็ก 12 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,老板仔香脆炸海苔 经典味 3.2克 (12包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Taokaenoi Crispy Seaweed Classic 3.2g (Pack of 12) — 100% authentic Thai product, shipped directly from Thailand.",2600,CNY,50,90,Snack,老板仔香脆炸海苔|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/tkn-swd-cls-3g-12pk.webp,true,https://www.makro.pro/th/p/815268-7275657232579
VTC-GMY-20G-24PK,vita-c-gummy-multifruit-20g-24pcs,ไวต้า-ซี วิตามินซี กัมมี่มัลติฟรุต 20 กรัม (แพ็ก 24 ซอง),Vita-C 维生素C混合水果软糖 20克 (24包装),Vita-C Gummy Multifruit 20g (Pack of 24),ไวต้า-ซี วิตามินซี กัมมี่มัลติฟรุต 20 กรัม (แพ็ก 24 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Vita-C 维生素C混合水果软糖 20克 (24包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Vita-C Gummy Multifruit 20g (Pack of 24) — 100% authentic Thai product, shipped directly from Thailand.",9900,CNY,50,550,Snack,Vita-C|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/vtc-gmy-20g-24pk.webp,true,https://www.makro.pro/th/p/919557-497289747644584
SWN-DRN-FD-15G-5PK,sriwanna-freeze-dried-durian-15g-5pcs,ศรีวรรณา ทุเรียนหมอนทองอบกรอบฟรีซดราย 15 กรัม (แพ็ก 5),Sriwanna 金枕头冻干榴莲 15克 (5包装),Sriwanna Freeze-Dried Durian 15g (Pack of 5),ศรีวรรณา ทุเรียนหมอนทองอบกรอบฟรีซดราย 15 กรัม (แพ็ก 5) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Sriwanna 金枕头冻干榴莲 15克 (5包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Sriwanna Freeze-Dried Durian 15g (Pack of 5) — 100% authentic Thai product, shipped directly from Thailand.",10900,CNY,50,130,Dried Fruits,Sriwanna|泰国果干|水果干|泰国特产|进口零食,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/swn-drn-fd-15g-5pk.webp,true,https://www.makro.pro/th/p/8859102007606-7354471252163
STR-DRN-FD-50G,starry-freeze-dried-durian-50g,สตาร์รี ทุเรียนอบกรอบฟรีซดราย 50 กรัม,Starry 冻干榴莲 50克,Starry Freeze-Dried Durian 50g,สตาร์รี ทุเรียนอบกรอบฟรีซดราย 50 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Starry 冻干榴莲 50克，泰国正品，精选泰国人气商品，泰国直邮。,"Starry Freeze-Dried Durian 50g — 100% authentic Thai product, shipped directly from Thailand.",6900,CNY,50,120,Dried Fruits,Starry|泰国果干|水果干|泰国特产|进口零食,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/str-drn-fd-50g.webp,true,https://www.makro.pro/th/p/8859508300080-7473503666371
STR-MSR-FD-40G,starry-freeze-dried-mango-sticky-rice-40g,สตาร์รี ข้าวเหนียวมะม่วงอบกรอบฟรีซดราย 40 กรัม,Starry 冻干芒果糯米饭 40克,Starry Freeze-Dried Mango Sticky Rice 40g,สตาร์รี ข้าวเหนียวมะม่วงอบกรอบฟรีซดราย 40 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Starry 冻干芒果糯米饭 40克，泰国正品，精选泰国人气商品，泰国直邮。,"Starry Freeze-Dried Mango Sticky Rice 40g — 100% authentic Thai product, shipped directly from Thailand.",8300,CNY,50,100,Dried Fruits,Starry|泰国果干|水果干|泰国特产|进口零食,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/str-msr-fd-40g.webp,true,https://www.makro.pro/th/p/8859508300134-7473507270851
NDL-MNG-1KG,natures-delight-dried-mango-1kg,เนเจอร์ส ดีไลท์ มะม่วงอบแห้ง 1 กก.,Nature's Delight 芒果干 1公斤,Nature's Delight Dried Mango 1kg,เนเจอร์ส ดีไลท์ มะม่วงอบแห้ง 1 กก. สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Nature's Delight 芒果干 1公斤，泰国正品，精选泰国人气商品，泰国直邮。,"Nature's Delight Dried Mango 1kg — 100% authentic Thai product, shipped directly from Thailand.",11900,CNY,50,1100,Dried Fruits,Nature's|泰国果干|水果干|泰国特产|进口零食,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ndl-mng-1kg.webp,true,https://www.makro.pro/th/p/HM051000-7369527853251
SWN-CCN-40G-10PK,sriwanna-crispy-coconut-40g-10pcs,ศรีวรรณา โกลด์ มะพร้าวอบกรอบ 40 กรัม (แพ็ก 10),Sriwanna 香脆椰子片 40克 (10包装),Sriwanna Gold Crispy Coconut 40g (Pack of 10),ศรีวรรณา โกลด์ มะพร้าวอบกรอบ 40 กรัม (แพ็ก 10) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Sriwanna 香脆椰子片 40克 (10包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Sriwanna Gold Crispy Coconut 40g (Pack of 10) — 100% authentic Thai product, shipped directly from Thailand.",13900,CNY,50,460,Dried Fruits,Sriwanna|泰国果干|水果干|泰国特产|进口零食,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/swn-ccn-40g-10pk.webp,true,https://www.makro.pro/th/p/8859102007699-7367151419587
BFR-JCK-65G,befruit-crispy-jackfruit-65g,OTOP บีฟรุ๊ต ขนุนกรอบ 65 กรัม,OTOP 菠萝蜜脆片 65克,OTOP Befruit Crispy Jackfruit 65g,OTOP บีฟรุ๊ต ขนุนกรอบ 65 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,OTOP 菠萝蜜脆片 65克，泰国正品，精选泰国人气商品，泰国直邮。,"OTOP Befruit Crispy Jackfruit 65g — 100% authentic Thai product, shipped directly from Thailand.",4200,CNY,50,90,Dried Fruits,OTOP|泰国果干|水果干|泰国特产|进口零食,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/bfr-jck-65g.webp,true,https://www.makro.pro/th/p/908348-124747734083406
MSP-TMR-600G,maesupap-tamarind-candy-600g,แม่สุภาพ มะขามแก้ว 600 กรัม,泰式罗望子糖 600克,Mae Supap Tamarind Candy 600g,แม่สุภาพ มะขามแก้ว 600 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,泰式罗望子糖 600克，泰国正品，精选泰国人气商品，泰国直邮。,"Mae Supap Tamarind Candy 600g — 100% authentic Thai product, shipped directly from Thailand.",6200,CNY,50,650,Dried Fruits,泰式罗望子糖|泰国果干|水果干|泰国特产|进口零食,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/msp-tmr-600g.webp,true,https://www.makro.pro/th/p/326196-77443692098719
CTM-THT-RED-400G,cha-tra-mue-thai-tea-red-label-400g,ชาตรามือ ชาผงปรุงสำเร็จ ฉลากแดง 400 กรัม,手标泰式茶粉 红标 400克,Cha Tra Mue Thai Tea Red Label 400g,ชาตรามือ ชาผงปรุงสำเร็จ ฉลากแดง 400 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,手标泰式茶粉 红标 400克，泰国正品，精选泰国人气商品，泰国直邮。,"Cha Tra Mue Thai Tea Red Label 400g — 100% authentic Thai product, shipped directly from Thailand.",4900,CNY,50,450,Beverage,手标泰式茶粉|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ctm-tht-red-400g.webp,true,https://www.makro.pro/th/p/155655-6761203073219
CTM-GRN-MLK-200G,cha-tra-mue-green-milk-tea-200g,ชาตรามือ ชาเขียวนม 200 กรัม,手标泰式绿奶茶粉 200克,Cha Tra Mue Green Milk Tea 200g,ชาตรามือ ชาเขียวนม 200 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,手标泰式绿奶茶粉 200克，泰国正品，精选泰国人气商品，泰国直邮。,"Cha Tra Mue Green Milk Tea 200g — 100% authentic Thai product, shipped directly from Thailand.",4500,CNY,50,250,Beverage,手标泰式绿奶茶粉|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ctm-grn-mlk-200g.webp,true,https://www.makro.pro/th/p/155848-6761203007683
MKR-HRB-SET-200G-6PK,thai-herbal-tea-set-200g-6pcs,ชุดต้มน้ำ มะตูม กระเจี๊ยบ พุทราจีน 200 กรัม (แพ็ก 6 ถุง),泰式草本茶组合(木橘/洛神花/红枣) 200克 (6袋装),Thai Herbal Tea Set Bael-Roselle-Jujube 200g (Pack of 6),ชุดต้มน้ำ มะตูม กระเจี๊ยบ พุทราจีน 200 กรัม (แพ็ก 6 ถุง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,泰式草本茶组合(木橘/洛神花/红枣) 200克 (6袋装)，泰国正品，精选泰国人气商品，泰国直邮。,"Thai Herbal Tea Set Bael-Roselle-Jujube 200g (Pack of 6) — 100% authentic Thai product, shipped directly from Thailand.",10800,CNY,50,1300,Beverage,泰式草本茶组合(木橘/洛神花/红枣)|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mkr-hrb-set-200g-6pk.webp,true,https://www.makro.pro/th/p/811409-7275739676867
MLO-3IN1-23G-30PK,milo-activ-go-3in1-23g-30-sachets,ไมโล แอคทีฟโก ช็อกโกแลตมอลต์ 3in1 23 กรัม (30 ซอง),美禄3合1巧克力麦芽 23克 (30条装),Milo Activ-Go 3in1 23g (30 Sachets),ไมโล แอคทีฟโก ช็อกโกแลตมอลต์ 3in1 23 กรัม (30 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,美禄3合1巧克力麦芽 23克 (30条装)，泰国正品，精选泰国人气商品，泰国直邮。,"Milo Activ-Go 3in1 23g (30 Sachets) — 100% authentic Thai product, shipped directly from Thailand.",7900,CNY,50,750,Beverage,美禄3合1巧克力麦芽|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mlo-3in1-23g-30pk.webp,true,https://www.makro.pro/th/p/179842-6761216901315
CHK-CCP-60G-12PK,chaokoh-coconut-milk-powder-60g-12pcs,ชาวเกาะ กะทิผงสำเร็จรูป 60 กรัม (แพ็ก 12 ซอง),俏果椰浆粉 60克 (12包装),Chaokoh Coconut Milk Powder 60g (Pack of 12),ชาวเกาะ กะทิผงสำเร็จรูป 60 กรัม (แพ็ก 12 ซอง) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,俏果椰浆粉 60克 (12包装)，泰国正品，精选泰国人气商品，泰国直邮。,"Chaokoh Coconut Milk Powder 60g (Pack of 12) — 100% authentic Thai product, shipped directly from Thailand.",7400,CNY,50,800,Thai Cooking,俏果椰浆粉|泰国调料|泰式料理|泰国厨房|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/chk-ccp-60g-12pk.webp,true,https://www.makro.pro/th/p/842564-7164687155395
