name,price,image_url,category
มาม่า รสต้มยำกุ้ง 55g (10 ซอง),67,https://media.allonline.7eleven.co.th/pdmain/393139_010_Supermarket.jpg,instant-food
ยำยำช้างน้อย รสข้าวโพด 120g (6 ซอง),57,https://media.allonline.7eleven.co.th/pdmain/393907_Pack_Supermarket-v4.jpg,instant-food
มาม่าออเรียนทัลคิตเชน รสคาโบนาร่าเบคอน 85g,58,https://media.allonline.7eleven.co.th/pdmain/453078-00-Pack-Instant-Noodles-Mama-v2.jpg,instant-food
มาม่าคัพ รสต้มกุ้งน้ำข้น 60g (6 ถ้วย),75,https://media.allonline.7eleven.co.th/pdmain/386389_Pack_Supermarket.jpg,instant-food
ไวไวควิกแสบคัพ รสต้มโคล้ง 60g (6 ถ้วย),70,https://media.allonline.7eleven.co.th/pdmain/362426_Pack_Edit_Supermarket.jpg,instant-food
ยำยำเส้นแบนซอง รสสุกี้ 55 กรัม แพ็ก 10 ซอง,63,https://media.allonline.7eleven.co.th/pdmain/386376_Pack_Supermarket.jpg,instant-food
ไวไวชาม รสปรุงสำเร็จ 70 กรัม (แพ็ก 3 ชาม),70,https://media.allonline.7eleven.co.th/pdmain/440260_00_Instant_Noodles_Waiwai.jpg,instant-food
ไวไวซอง รสเห็ดหอมเจ 60 กรัม (ยกลัง 30 ซอง),200,https://media.allonline.7eleven.co.th/pdmain/685315-00-allonline-sm.jpg,instant-food
โซฟี ผ้าอนามัยแบบกางเกง รุ่น Safety Pants ไซซ์ XL-XXL (ห่อละ 2 ชิ้น),145,https://media.allonline.7eleven.co.th/pdmain/741126-00-pack-allonline-sm.jpg,personal-care
โซฟี แบบกระชับกลางคืน 33ซม. (ห่อละ 14 ชิ้น),88,https://media.allonline.7eleven.co.th/pdmain/352168-00-allonline-sm-v3.jpg,personal-care
การ์นิเย่ ไมเซล่า คลีนซิ่ง วอเตอร์ 125 มล.,109,https://media.allonline.7eleven.co.th/pdmain/357460-00-cleanser-garnier-v1.jpg,personal-care
บิโอเร ยูวี อะควาริช วอเตอร์รี่ เอสเซนส์ ซันสกรีน SPF50+,129,https://media.allonline.7eleven.co.th/pdmain/357501-00-allonline-bt.jpg,personal-care
Clear Nose เซรั่มกันแดด UV Sun Serum SPF50+ PA++++ 28 มล.,185,https://media.allonline.7eleven.co.th/pdmain/734925_0-best-sellers-29062026.jpg,personal-care
คอลเกต ยาสีฟัน อ๊อพติค ไวท์ เพอร์เพิล 100 กรัม,179,https://media.allonline.7eleven.co.th/pdmain/669017-00-allonline-sm-v1.jpg,personal-care
นีเวียเมน โฟมล้างหน้า ไบร์ท ออยล์ เคลียเฟซ 100 กรัม,139,https://media.allonline.7eleven.co.th/pdmain/357494-00-cleanser-nivea-v.jpg,personal-care
ลอรีเอะ ซูเปอร์อัลตร้าสลิม (ห่อละ 20 ชิ้น),75,https://media.allonline.7eleven.co.th/pdmain/354857-00-allonline-sm-v3.jpg,personal-care
ซิปโซ่ ข้าวต้มข้าวกข.43 300 กรัม,19,https://media.allonline.7eleven.co.th/_43_300_/plist/521550-00-allonline-onlyat-new2.jpg,instant-soup
ซิปโซ่ข้าวต้มข้าวแดง 300 กรัม,19,https://media.allonline.7eleven.co.th/pdmain/521552-00-allonline-onlyat-new2.jpg,instant-soup
ซิปโซ่ ข้าวต้มข้าวกล้องหอมมะลิ,22,https://media.allonline.7eleven.co.th/pdmain/479405-00-allonline-onlyat-new1.jpg,instant-soup
ดอยคำ มะม่วงอบแห้ง 40 กรัม (แพ็ก 6 ชิ้น),223,https://media.allonline.7eleven.co.th/pdmain/357201_01_Supermarket.jpg,dried-fruits
ไทยอร่อย ทุเรียนหมอนทองอบกรอบ 25 กรัม (แพ็ก 4 ชิ้น),369,https://media.allonline.7eleven.co.th/pdmain/722818-00-allonline-sm.jpg,dried-fruits
ฉัตรไทยฟู้ดส์ ทุเรียนอบแห้งฝาใหญ่ 90 กรัม,339,https://media.allonline.7eleven.co.th/pdmain/692525-00-allonline-sm.jpg,dried-fruits
OTOP ไร่ทับทิมสยาม กล้วยตากพลังงานแสงอาทิตย์ 90 กรัม (แพ็ก 4 ชิ้น),83,https://media.allonline.7eleven.co.th/pdmain/407679-00-allonline-sm.jpg,dried-fruits
เนสที ผงชาไทย 200 กรัม,320,https://media.allonline.7eleven.co.th/pdmain/692613-00-allonline-sm.jpg,beverage
